year,month,HMtempC_mean,WindSpd_mean,HMtempC_median,WindSpd_median,HMtempC_pstdv,WindSpd_pstdv,HMtempC_min,WindSpd_min,HMtempC_max,WindSpd_max,wndN,wndNNE,wndNE,wndENE,wndE,wndESE,wndSE,wndSSE,wndS,wndSSW,wndSW,wndWSW,wndW,wndNNW,wndUNK,wnd_WNW_NW,RT_All
1994,10,13.491507,6.221814,13.186363,5.291666,2.656958,4.195092,9.0,1.0,19.181818,14.136364,17,0,6,0,1,0,35,0,31,0,18,0,23,0,43,137.0,363.0
1988,10,9.485599,10.206363,7.823232,7.338889,4.680376,8.457211,3.666667,1.666667,19.1,37.318182,34,0,1,0,0,1,29,0,14,0,23,0,56,0,35,101.0,1395.0
1991,10,12.824781,9.576005,12.4,6.85,3.811242,7.49692,6.4,0.0,21.090909,33.5,25,0,5,0,1,0,44,0,35,0,53,0,18,2,34,83.0,1628.0
1977,10,8.050278,14.009295,9.25,8.888889,4.665747,11.14271,-1.0,3.0,17.0,44.222222,19,0,9,0,7,0,6,0,6,0,13,0,25,0,5,114.0,2067.0
1998,10,12.140624,10.042779,12.5,8.666667,3.287428,5.312183,5.909091,2.227273,17.222222,20.136364,13,0,3,0,16,4,28,3,24,1,19,0,29,19,36,127.0,2014.0
2014,10,13.062064,8.620913,13.333333,7.15,3.398533,5.942685,7.272727,2.454545,20.0,24.954545,10,1,12,8,7,0,34,3,42,3,15,11,47,0,28,104.0,847.0
2012,10,12.668476,8.48956,12.818182,6.145834,3.766834,7.259194,5.0,1.8,19.4,33.5,0,0,6,3,22,0,14,0,25,0,45,3,50,0,67,79.0,947.0
1978,10,10.880401,8.651991,11.8125,7.583334,3.872357,5.249077,3.2,2.0,16.0,24.125,29,0,7,0,5,0,18,0,4,0,30,0,20,0,17,127.0,1492.0
1976,10,5.673194,15.617659,6.4,10.25,4.400925,13.309323,-3.9,3.0,11.333333,44.75,1,0,11,0,0,0,2,0,6,0,15,0,13,0,22,121.0,1946.0
2006,10,11.106777,11.94746,10.5,10.772727,4.474715,7.181293,3.727273,1.363636,18.636364,25.727273,9,1,13,0,6,0,26,8,12,1,11,13,15,17,34,163.0,1735.0
2015,10,11.610912,11.045076,11.318181,8.193182,3.773307,10.379199,5.0,1.8,18.8,55.5,18,7,11,13,6,12,17,2,10,1,26,6,44,8,37,110.0,330.0
